datetime,price,signal,signal_direction,vol_state,range_state,trend_state,open,limit_price,ticks_away,fill_probability,tau,tick_size,contract,vol_state_label,range_state_label,trend_state_label,mkt_open,high,low,close,filled,execution_price,benchmark_price,improvement,better_than_market,improvement_ticks
2025-06-02 06:00:00,130.81,5,buy,3,3,1,130.8,130.8,0,0.846,5,0.01,RXM25,high,high,down,130.8,130.85,130.8,130.85,1,130.8,130.8,0.0,0,0.0
2025-06-02 06:05:00,130.85,5,buy,3,3,3,130.85,130.85,0,0.883,5,0.01,RXM25,high,high,up,130.85,130.87,130.83,130.84,1,130.85,130.85,0.0,0,0.0
2025-06-02 06:10:00,130.84,5,buy,3,3,1,130.84,130.84,0,0.846,5,0.01,RXM25,high,high,down,130.84,130.86,130.84,130.85,1,130.84,130.84,0.0,0,0.0
2025-06-02 06:15:00,130.85,5,buy,3,3,2,130.85,130.85,0,0.844,5,0.01,RXM25,high,high,flat,130.85,130.9,130.85,130.89,1,130.85,130.85,0.0,0,0.0
2025-06-02 06:20:00,130.89,5,buy,3,3,3,130.89,130.89,0,0.883,5,0.01,RXM25,high,high,up,130.89,130.92,130.88,130.91,1,130.89,130.89,0.0,0,0.0
2025-06-02 06:25:00,130.91,5,buy,3,3,3,130.91,130.91,0,0.883,5,0.01,RXM25,high,high,up,130.91,130.94,130.91,130.93,1,130.91,130.91,0.0,0,0.0
2025-06-02 06:30:00,130.93,5,buy,3,3,3,130.93,130.93,0,0.883,5,0.01,RXM25,high,high,up,130.93,130.97,130.93,130.96,1,130.93,130.93,0.0,0,0.0
2025-06-02 06:35:00,130.96,5,buy,3,3,3,130.96,130.96,0,0.883,5,0.01,RXM25,high,high,up,130.96,130.99,130.95,130.97,1,130.96,130.96,0.0,0,0.0
2025-06-02 06:40:00,130.97,5,buy,3,3,3,130.98,130.98,0,0.883,5,0.01,RXM25,high,high,up,130.98,130.99,130.96,130.97,1,130.98,130.98,0.0,0,0.0
2025-06-02 06:45:00,130.97,5,buy,3,2,1,130.97,130.97,0,0.752,5,0.01,RXM25,high,medium,down,130.97,130.98,130.95,130.97,1,130.97,130.97,0.0,0,0.0
2025-06-02 06:50:00,130.97,5,buy,3,2,2,130.97,130.97,0,0.789,5,0.01,RXM25,high,medium,flat,130.97,130.98,130.94,130.95,1,130.97,130.97,0.0,0,0.0
2025-06-02 06:55:00,130.95,5,buy,3,2,1,130.96,130.96,0,0.752,5,0.01,RXM25,high,medium,down,130.96,130.96,130.93,130.93,1,130.96,130.96,0.0,0,0.0
2025-06-02 07:00:00,130.93,5,buy,3,2,1,130.94,130.94,0,0.752,5,0.01,RXM25,high,medium,down,130.94,131.0,130.93,131.0,1,130.94,130.94,0.0,0,0.0
2025-06-02 07:05:00,131.0,5,buy,3,3,3,131.0,131.0,0,0.883,5,0.01,RXM25,high,high,up,131.0,131.01,130.98,131.01,1,131.0,131.0,0.0,0,0.0
2025-06-02 07:10:00,131.01,5,buy,3,3,2,131.0,131.0,0,0.844,5,0.01,RXM25,high,high,flat,131.0,131.03,130.98,130.98,1,131.0,131.0,0.0,0,0.0
2025-06-02 07:15:00,130.98,5,buy,3,3,1,130.99,130.99,0,0.846,5,0.01,RXM25,high,high,down,130.99,131.01,130.97,131.0,1,130.99,130.99,0.0,0,0.0
2025-06-02 07:20:00,131.0,5,buy,3,3,3,131.01,131.01,0,0.883,5,0.01,RXM25,high,high,up,131.01,131.01,130.99,130.99,1,131.01,131.01,0.0,0,0.0
2025-06-02 07:25:00,130.99,5,buy,3,2,1,131.0,131.0,0,0.752,5,0.01,RXM25,high,medium,down,131.0,131.02,130.98,131.02,1,131.0,131.0,0.0,0,0.0
2025-06-02 07:30:00,131.02,5,buy,3,2,2,131.01,131.01,0,0.789,5,0.01,RXM25,high,medium,flat,131.01,131.01,130.97,130.99,1,131.01,131.01,0.0,0,0.0
2025-06-02 07:35:00,130.99,5,buy,3,2,1,131.0,131.0,0,0.752,5,0.01,RXM25,high,medium,down,131.0,131.03,130.99,131.01,1,131.0,131.0,0.0,0,0.0
2025-06-02 07:40:00,131.01,5,buy,3,2,2,131.01,131.01,0,0.789,5,0.01,RXM25,high,medium,flat,131.01,131.04,131.01,131.03,1,131.01,131.01,0.0,0,0.0
2025-06-02 07:45:00,131.03,5,buy,3,2,3,131.03,131.03,0,0.853,5,0.01,RXM25,high,medium,up,131.03,131.03,130.98,131.03,1,131.03,131.03,0.0,0,0.0
2025-06-02 07:50:00,131.03,5,buy,3,2,1,131.02,131.02,0,0.752,5,0.01,RXM25,high,medium,down,131.02,131.05,131.01,131.05,1,131.02,131.02,0.0,0,0.0
2025-06-02 07:55:00,131.05,5,buy,3,2,3,131.05,131.05,0,0.853,5,0.01,RXM25,high,medium,up,131.05,131.06,131.01,131.02,1,131.05,131.05,0.0,0,0.0
2025-06-02 08:00:00,131.02,8,buy,3,3,1,131.02,131.02,0,0.846,5,0.01,RXM25,high,high,down,131.02,131.03,130.96,131.0,1,131.02,131.02,0.0,0,0.0
2025-06-02 08:05:00,131.0,8,buy,3,3,1,130.99,130.99,0,0.846,5,0.01,RXM25,high,high,down,130.99,131.04,130.99,131.02,1,130.99,130.99,0.0,0,0.0
2025-06-02 08:10:00,131.02,8,buy,3,3,3,131.03,131.03,0,0.883,5,0.01,RXM25,high,high,up,131.03,131.05,131.02,131.04,1,131.03,131.03,0.0,0,0.0
2025-06-02 08:15:00,131.04,8,buy,3,3,2,131.03,131.03,0,0.844,5,0.01,RXM25,high,high,flat,131.03,131.04,131.01,131.01,1,131.03,131.03,0.0,0,0.0
2025-06-02 08:20:00,131.01,8,buy,2,3,1,131.0,131.0,0,0.823,5,0.01,RXM25,medium,high,down,131.0,131.02,130.96,130.96,1,131.0,131.0,0.0,0,0.0
2025-06-02 08:25:00,130.96,8,buy,2,3,1,130.97,130.97,0,0.823,5,0.01,RXM25,medium,high,down,130.97,130.97,130.93,130.96,1,130.97,130.97,0.0,0,0.0
2025-06-02 08:30:00,130.96,8,buy,2,3,2,130.97,130.97,0,0.822,5,0.01,RXM25,medium,high,flat,130.97,130.99,130.96,130.98,1,130.97,130.97,0.0,0,0.0
2025-06-02 08:35:00,130.98,8,buy,2,3,2,130.98,130.98,0,0.822,5,0.01,RXM25,medium,high,flat,130.98,131.02,130.98,131.02,1,130.98,130.98,0.0,0,0.0
2025-06-02 08:40:00,131.02,8,buy,2,3,3,131.02,131.02,0,0.849,5,0.01,RXM25,medium,high,up,131.02,131.03,131.0,131.01,1,131.02,131.02,0.0,0,0.0
2025-06-02 08:45:00,131.01,8,buy,2,3,1,131.01,131.01,0,0.823,5,0.01,RXM25,medium,high,down,131.01,131.02,130.98,130.99,1,131.01,131.01,0.0,0,0.0
2025-06-02 08:50:00,130.99,8,buy,2,3,1,130.99,130.99,0,0.823,5,0.01,RXM25,medium,high,down,130.99,130.99,130.93,130.94,1,130.99,130.99,0.0,0,0.0
2025-06-02 08:55:00,130.94,8,buy,2,3,1,130.94,130.94,0,0.823,5,0.01,RXM25,medium,high,down,130.94,130.94,130.91,130.92,1,130.94,130.94,0.0,0,0.0
2025-06-02 09:00:00,130.92,10,buy,2,3,1,130.92,130.92,0,0.823,5,0.01,RXM25,medium,high,down,130.92,130.95,130.91,130.91,1,130.92,130.92,0.0,0,0.0
2025-06-02 09:05:00,130.91,10,buy,2,3,1,130.91,130.91,0,0.823,5,0.01,RXM25,medium,high,down,130.91,130.96,130.91,130.92,1,130.91,130.91,0.0,0,0.0
2025-06-02 09:10:00,130.92,10,buy,2,3,2,130.92,130.92,0,0.822,5,0.01,RXM25,medium,high,flat,130.92,130.92,130.89,130.92,1,130.92,130.92,0.0,0,0.0
2025-06-02 09:15:00,130.92,10,buy,2,3,2,130.92,130.92,0,0.822,5,0.01,RXM25,medium,high,flat,130.92,130.93,130.91,130.91,1,130.92,130.92,0.0,0,0.0
2025-06-02 09:20:00,130.91,10,buy,2,2,2,130.92,130.92,0,0.731,5,0.01,RXM25,medium,medium,flat,130.92,130.96,130.92,130.96,1,130.92,130.92,0.0,0,0.0
2025-06-02 09:25:00,130.96,10,buy,2,2,3,130.96,130.96,0,0.829,5,0.01,RXM25,medium,medium,up,130.96,131.04,130.94,131.04,1,130.96,130.96,0.0,0,0.0
2025-06-02 09:30:00,131.04,10,buy,2,3,3,131.04,131.04,0,0.849,5,0.01,RXM25,medium,high,up,131.04,131.08,131.04,131.06,1,131.04,131.04,0.0,0,0.0
2025-06-02 09:35:00,131.06,10,buy,3,3,3,131.06,131.06,0,0.883,5,0.01,RXM25,high,high,up,131.06,131.07,131.01,131.02,1,131.06,131.06,0.0,0,0.0
2025-06-02 09:40:00,131.02,10,buy,3,3,1,131.03,131.03,0,0.846,5,0.01,RXM25,high,high,down,131.03,131.03,130.99,131.01,1,131.03,131.03,0.0,0,0.0
