datetime,price,signal,signal_direction,vol_state,range_state,trend_state,open,limit_price,ticks_away,fill_probability,tau,tick_size,contract,vol_state_label,range_state_label,trend_state_label,mkt_open,high,low,close,filled,execution_price,benchmark_price,improvement,better_than_market,improvement_ticks
2020-06-02 02:30:00,125.14,-5,sell,2,2,3,125.14,125.14,0.0,0.817,5,0.01,BPM20,medium,medium,up,125.14,125.21,125.12,125.21,1,125.14,125.14,0.0,0,0.0
2020-06-02 02:35:00,125.21,-5,sell,2,2,3,125.22,125.22,0.0,0.817,5,0.01,BPM20,medium,medium,up,125.22,125.45,125.21,125.44,1,125.22,125.22,0.0,0,0.0
2020-06-02 02:40:00,125.44,-5,sell,2,2,3,125.44,125.44,0.0,0.817,5,0.01,BPM20,medium,medium,up,125.44,125.54,125.43,125.44,1,125.44,125.44,0.0,0,0.0
2020-06-02 02:45:00,125.44,-5,sell,3,2,2,125.45,125.45,0.0,0.821,5,0.01,BPM20,high,medium,flat,125.45,125.51,125.38,125.38,1,125.45,125.45,0.0,0,0.0
2020-06-02 02:50:00,125.38,-5,sell,3,2,1,125.38,125.38,0.0,0.844,5,0.01,BPM20,high,medium,down,125.38,125.43,125.31,125.32,1,125.38,125.38,0.0,0,0.0
2020-06-02 02:55:00,125.32,-5,sell,3,3,1,125.32,125.33,1.0,0.779,5,0.01,BPM20,high,high,down,125.32,125.33,125.28,125.3,1,125.33,125.32,0.010000000000005116,1,1.0000000000005116
2020-06-02 03:00:00,125.3,-5,sell,3,2,1,125.3,125.3,0.0,0.844,5,0.01,BPM20,high,medium,down,125.3,125.42,125.28,125.3,1,125.3,125.3,0.0,0,0.0
2020-06-02 03:05:00,125.3,-5,sell,3,3,2,125.31,125.32,1.0,0.73,5,0.01,BPM20,high,high,flat,125.31,125.39,125.28,125.34,1,125.32,125.31,0.009999999999990905,1,0.9999999999990905
2020-06-02 03:10:00,125.34,-5,sell,3,3,3,125.34,125.35,1.0,0.753,5,0.01,BPM20,high,high,up,125.34,125.36,125.27,125.28,1,125.35,125.34,0.009999999999990905,1,0.9999999999990905
2020-06-02 03:15:00,125.28,-5,sell,3,3,1,125.29,125.3,1.0,0.779,5,0.01,BPM20,high,high,down,125.29,125.32,125.25,125.32,1,125.3,125.29,0.009999999999990905,1,0.9999999999990905
2020-06-02 03:20:00,125.32,-5,sell,3,3,3,125.32,125.33,1.0,0.753,5,0.01,BPM20,high,high,up,125.32,125.38,125.3,125.33,1,125.33,125.32,0.010000000000005116,1,1.0000000000005116
2020-06-02 03:25:00,125.33,-5,sell,3,3,2,125.32,125.33,1.0,0.73,5,0.01,BPM20,high,high,flat,125.32,125.36,125.29,125.29,1,125.33,125.32,0.010000000000005116,1,1.0000000000005116
2020-06-02 03:30:00,125.29,-5,sell,3,3,1,125.29,125.3,1.0,0.779,5,0.01,BPM20,high,high,down,125.29,125.39,125.28,125.3,1,125.3,125.29,0.009999999999990905,1,0.9999999999990905
2020-06-02 03:35:00,125.3,-5,sell,3,3,2,125.29,125.3,1.0,0.73,5,0.01,BPM20,high,high,flat,125.29,125.29,125.21,125.24,0,125.24,125.29,-0.05000000000001137,0,-5.000000000001137
2020-06-02 03:40:00,125.24,-5,sell,3,3,1,125.24,125.25,1.0,0.779,5,0.01,BPM20,high,high,down,125.24,125.24,125.14,125.17,0,125.17,125.24,-0.06999999999999318,0,-6.999999999999318
2020-06-02 03:45:00,125.17,-5,sell,3,3,1,125.17,125.18,1.0,0.779,5,0.01,BPM20,high,high,down,125.17,125.19,125.07,125.12,1,125.18,125.17,0.010000000000005116,1,1.0000000000005116
2020-06-02 03:50:00,125.12,-5,sell,3,3,1,125.13,125.14,1.0,0.779,5,0.01,BPM20,high,high,down,125.13,125.16,125.05,125.15,1,125.14,125.13,0.010000000000005116,1,1.0000000000005116
2020-06-02 03:55:00,125.15,-5,sell,3,3,3,125.15,125.16,1.0,0.753,5,0.01,BPM20,high,high,up,125.15,125.15,125.06,125.12,0,125.12,125.15,-0.030000000000001137,0,-3.0000000000001137
2020-06-02 04:00:00,125.12,-7,sell,3,3,1,125.11,125.12,1.0,0.779,5,0.01,BPM20,high,high,down,125.11,125.11,124.99,125.07,0,125.07,125.11,-0.04000000000000625,0,-4.000000000000625
2020-06-02 04:05:00,125.07,-7,sell,3,3,1,125.07,125.08,1.0,0.779,5,0.01,BPM20,high,high,down,125.07,125.16,125.07,125.15,1,125.08,125.07,0.010000000000005116,1,1.0000000000005116
2020-06-02 04:10:00,125.15,-7,sell,3,3,3,125.15,125.16,1.0,0.753,5,0.01,BPM20,high,high,up,125.15,125.24,125.11,125.24,1,125.16,125.15,0.009999999999990905,1,0.9999999999990905
2020-06-02 04:15:00,125.24,-7,sell,3,3,3,125.24,125.25,1.0,0.753,5,0.01,BPM20,high,high,up,125.24,125.36,125.2,125.31,1,125.25,125.24,0.010000000000005116,1,1.0000000000005116
2020-06-02 04:20:00,125.31,-7,sell,3,3,3,125.31,125.32,1.0,0.753,5,0.01,BPM20,high,high,up,125.31,125.38,125.25,125.36,1,125.32,125.31,0.009999999999990905,1,0.9999999999990905
2020-06-02 04:25:00,125.36,-7,sell,3,3,3,125.36,125.37,1.0,0.753,5,0.01,BPM20,high,high,up,125.36,125.37,125.26,125.3,1,125.37,125.36,0.010000000000005116,1,1.0000000000005116
2020-06-02 04:30:00,125.3,-7,sell,3,3,1,125.3,125.31,1.0,0.779,5,0.01,BPM20,high,high,down,125.3,125.42,125.25,125.39,1,125.31,125.3,0.010000000000005116,1,1.0000000000005116
2020-06-02 04:35:00,125.39,-7,sell,3,3,3,125.4,125.41,1.0,0.753,5,0.01,BPM20,high,high,up,125.4,125.47,125.39,125.41,1,125.41,125.4,0.009999999999990905,1,0.9999999999990905
2020-06-02 04:40:00,125.41,-7,sell,3,3,2,125.41,125.42,1.0,0.73,5,0.01,BPM20,high,high,flat,125.41,125.46,125.36,125.46,1,125.42,125.41,0.010000000000005116,1,1.0000000000005116
2020-06-02 04:45:00,125.46,-7,sell,3,3,3,125.46,125.47,1.0,0.753,5,0.01,BPM20,high,high,up,125.46,125.51,125.42,125.48,1,125.47,125.46,0.010000000000005116,1,1.0000000000005116
2020-06-02 04:50:00,125.48,-7,sell,3,3,2,125.47,125.48,1.0,0.73,5,0.01,BPM20,high,high,flat,125.47,125.51,125.45,125.45,1,125.48,125.47,0.010000000000005116,1,1.0000000000005116
2020-06-02 04:55:00,125.45,-7,sell,3,3,2,125.46,125.47,1.0,0.73,5,0.01,BPM20,high,high,flat,125.46,125.54,125.41,125.53,1,125.47,125.46,0.010000000000005116,1,1.0000000000005116
2020-06-02 05:00:00,125.53,-7,sell,3,3,3,125.53,125.54,1.0,0.753,5,0.01,BPM20,high,high,up,125.53,125.64,125.51,125.6,1,125.54,125.53,0.010000000000005116,1,1.0000000000005116
2020-06-02 05:05:00,125.6,-7,sell,3,3,3,125.6,125.61,1.0,0.753,5,0.01,BPM20,high,high,up,125.6,125.6,125.55,125.59,0,125.59,125.6,-0.009999999999990905,0,-0.9999999999990905
2020-06-02 05:10:00,125.59,-7,sell,3,3,2,125.59,125.6,1.0,0.73,5,0.01,BPM20,high,high,flat,125.59,125.59,125.52,125.58,0,125.58,125.59,-0.010000000000005116,0,-1.0000000000005116
2020-06-02 05:15:00,125.58,-7,sell,3,3,2,125.59,125.6,1.0,0.73,5,0.01,BPM20,high,high,flat,125.59,125.67,125.58,125.59,1,125.6,125.59,0.009999999999990905,1,0.9999999999990905
2020-06-02 05:20:00,125.59,-7,sell,3,3,2,125.59,125.6,1.0,0.73,5,0.01,BPM20,high,high,flat,125.59,125.64,125.58,125.59,1,125.6,125.59,0.009999999999990905,1,0.9999999999990905
2020-06-02 05:25:00,125.59,-7,sell,3,3,2,125.6,125.61,1.0,0.73,5,0.01,BPM20,high,high,flat,125.6,125.65,125.59,125.6,1,125.61,125.6,0.010000000000005116,1,1.0000000000005116
2020-06-02 05:30:00,125.6,-7,sell,3,3,2,125.59,125.6,1.0,0.73,5,0.01,BPM20,high,high,flat,125.59,125.6,125.54,125.54,1,125.6,125.59,0.009999999999990905,1,0.9999999999990905
2020-06-02 05:35:00,125.54,-7,sell,3,3,1,125.55,125.56,1.0,0.779,5,0.01,BPM20,high,high,down,125.55,125.68,125.55,125.67,1,125.56,125.55,0.010000000000005116,1,1.0000000000005116
2020-06-02 05:40:00,125.67,-7,sell,3,3,3,125.68,125.69,1.0,0.753,5,0.01,BPM20,high,high,up,125.68,125.71,125.64,125.67,1,125.69,125.68,0.009999999999990905,1,0.9999999999990905
2020-06-02 05:45:00,125.67,-7,sell,3,3,1,125.66,125.67,1.0,0.779,5,0.01,BPM20,high,high,down,125.66,125.76,125.65,125.72,1,125.67,125.66,0.010000000000005116,1,1.0000000000005116
2020-06-02 05:50:00,125.72,-7,sell,3,3,3,125.72,125.73,1.0,0.753,5,0.01,BPM20,high,high,up,125.72,125.72,125.67,125.69,0,125.69,125.72,-0.030000000000001137,0,-3.0000000000001137
2020-06-02 05:55:00,125.69,-7,sell,3,3,1,125.7,125.71,1.0,0.779,5,0.01,BPM20,high,high,down,125.7,125.77,125.67,125.67,1,125.71,125.7,0.009999999999990905,1,0.9999999999990905
2020-06-02 06:00:00,125.67,-7,sell,3,3,1,125.67,125.68,1.0,0.779,5,0.01,BPM20,high,high,down,125.67,125.68,125.56,125.56,1,125.68,125.67,0.010000000000005116,1,1.0000000000005116
2020-06-02 06:05:00,125.56,-7,sell,3,3,1,125.56,125.57,1.0,0.779,5,0.01,BPM20,high,high,down,125.56,125.56,125.47,125.54,0,125.54,125.56,-0.01999999999999602,0,-1.999999999999602
2020-06-02 06:10:00,125.54,-7,sell,3,3,1,125.53,125.54,1.0,0.779,5,0.01,BPM20,high,high,down,125.53,125.63,125.46,125.63,1,125.54,125.53,0.010000000000005116,1,1.0000000000005116
2020-06-02 06:15:00,125.63,-7,sell,3,3,3,125.63,125.64,1.0,0.753,5,0.01,BPM20,high,high,up,125.63,125.71,125.62,125.67,1,125.64,125.63,0.010000000000005116,1,1.0000000000005116
2020-06-02 06:20:00,125.67,-7,sell,3,3,3,125.67,125.68,1.0,0.753,5,0.01,BPM20,high,high,up,125.67,125.67,125.57,125.57,0,125.57,125.67,-0.10000000000000853,0,-10.000000000000853
2020-06-02 06:25:00,125.57,-7,sell,3,3,1,125.56,125.57,1.0,0.779,5,0.01,BPM20,high,high,down,125.56,125.64,125.51,125.58,1,125.57,125.56,0.009999999999990905,1,0.9999999999990905
2020-06-02 06:30:00,125.58,-2,sell,3,3,3,125.58,125.59,1.0,0.753,5,0.01,BPM20,high,high,up,125.58,125.66,125.57,125.65,1,125.59,125.58,0.010000000000005116,1,1.0000000000005116
2020-06-02 06:35:00,125.65,-2,sell,3,3,3,125.65,125.66,1.0,0.753,5,0.01,BPM20,high,high,up,125.65,125.68,125.59,125.68,1,125.66,125.65,0.009999999999990905,1,0.9999999999990905
2020-06-02 06:40:00,125.68,-2,sell,3,3,3,125.67,125.68,1.0,0.753,5,0.01,BPM20,high,high,up,125.67,125.73,125.66,125.67,1,125.68,125.67,0.010000000000005116,1,1.0000000000005116
2020-06-02 06:45:00,125.67,-2,sell,3,3,2,125.67,125.68,1.0,0.73,5,0.01,BPM20,high,high,flat,125.67,125.73,125.66,125.68,1,125.68,125.67,0.010000000000005116,1,1.0000000000005116
2020-06-02 06:50:00,125.68,-2,sell,3,3,2,125.68,125.69,1.0,0.73,5,0.01,BPM20,high,high,flat,125.68,125.68,125.57,125.61,0,125.61,125.68,-0.07000000000000739,0,-7.000000000000739
2020-06-02 06:55:00,125.61,-2,sell,3,3,1,125.6,125.61,1.0,0.779,5,0.01,BPM20,high,high,down,125.6,125.68,125.57,125.62,1,125.61,125.6,0.010000000000005116,1,1.0000000000005116
2020-06-02 07:00:00,125.62,-2,sell,3,3,3,125.63,125.64,1.0,0.753,5,0.01,BPM20,high,high,up,125.63,125.63,125.5,125.52,0,125.52,125.63,-0.10999999999999943,0,-10.999999999999943
2020-06-02 07:05:00,125.52,-2,sell,3,3,1,125.51,125.52,1.0,0.779,5,0.01,BPM20,high,high,down,125.51,125.52,125.45,125.48,1,125.52,125.51,0.009999999999990905,1,0.9999999999990905
2020-06-02 07:10:00,125.48,-2,sell,3,3,1,125.49,125.5,1.0,0.779,5,0.01,BPM20,high,high,down,125.49,125.51,125.45,125.47,1,125.5,125.49,0.010000000000005116,1,1.0000000000005116
2020-06-02 07:15:00,125.47,-2,sell,3,3,1,125.47,125.48,1.0,0.779,5,0.01,BPM20,high,high,down,125.47,125.48,125.42,125.42,1,125.48,125.47,0.010000000000005116,1,1.0000000000005116
2020-06-02 07:20:00,125.42,-2,sell,3,3,1,125.42,125.43,1.0,0.779,5,0.01,BPM20,high,high,down,125.42,125.51,125.39,125.48,1,125.43,125.42,0.010000000000005116,1,1.0000000000005116
2020-06-02 07:25:00,125.48,-2,sell,3,3,3,125.48,125.49,1.0,0.753,5,0.01,BPM20,high,high,up,125.48,125.48,125.28,125.32,0,125.32,125.48,-0.1600000000000108,0,-16.00000000000108
2020-06-02 07:30:00,125.32,-2,sell,3,3,1,125.32,125.33,1.0,0.779,5,0.01,BPM20,high,high,down,125.32,125.41,125.32,125.41,1,125.33,125.32,0.010000000000005116,1,1.0000000000005116
2020-06-02 07:35:00,125.41,-2,sell,3,3,3,125.4,125.41,1.0,0.753,5,0.01,BPM20,high,high,up,125.4,125.47,125.4,125.43,1,125.41,125.4,0.009999999999990905,1,0.9999999999990905
2020-06-02 07:40:00,125.43,-2,sell,3,3,3,125.43,125.44,1.0,0.753,5,0.01,BPM20,high,high,up,125.43,125.48,125.43,125.47,1,125.44,125.43,0.009999999999990905,1,0.9999999999990905
2020-06-02 07:45:00,125.47,-2,sell,3,3,3,125.48,125.49,1.0,0.753,5,0.01,BPM20,high,high,up,125.48,125.5,125.46,125.47,1,125.49,125.48,0.009999999999990905,1,0.9999999999990905
2020-06-02 07:50:00,125.47,-2,sell,3,3,1,125.46,125.47,1.0,0.779,5,0.01,BPM20,high,high,down,125.46,125.48,125.43,125.44,1,125.47,125.46,0.010000000000005116,1,1.0000000000005116
2020-06-02 07:55:00,125.44,-2,sell,3,3,1,125.43,125.44,1.0,0.779,5,0.01,BPM20,high,high,down,125.43,125.48,125.4,125.42,1,125.44,125.43,0.009999999999990905,1,0.9999999999990905
2020-06-02 09:00:00,125.49,11,buy,3,3,2,125.5,125.49,1.0,0.716,5,0.01,BPM20,high,high,flat,125.5,125.53,125.46,125.47,1,125.49,125.5,0.010000000000005116,1,1.0000000000005116
2020-06-02 09:05:00,125.47,11,buy,3,3,1,125.46,125.45,1.0,0.76,5,0.01,BPM20,high,high,down,125.46,125.51,125.45,125.5,1,125.45,125.46,0.009999999999990905,1,0.9999999999990905
2020-06-02 09:10:00,125.5,11,buy,3,3,3,125.51,125.5,1.0,0.767,5,0.01,BPM20,high,high,up,125.51,125.53,125.44,125.46,1,125.5,125.51,0.010000000000005116,1,1.0000000000005116
2020-06-02 09:15:00,125.46,11,buy,3,3,1,125.45,125.44,1.0,0.76,5,0.01,BPM20,high,high,down,125.45,125.51,125.45,125.5,0,125.5,125.45,-0.04999999999999716,0,-4.999999999999716
2020-06-02 09:20:00,125.5,11,buy,3,3,3,125.51,125.5,1.0,0.767,5,0.01,BPM20,high,high,up,125.51,125.55,125.46,125.55,1,125.5,125.51,0.010000000000005116,1,1.0000000000005116
2020-06-02 09:25:00,125.55,11,buy,3,3,3,125.54,125.53,1.0,0.767,5,0.01,BPM20,high,high,up,125.54,125.61,125.51,125.6,1,125.53,125.54,0.010000000000005116,1,1.0000000000005116
