datetime,price,signal,signal_direction,vol_state,range_state,trend_state,open,limit_price,ticks_away,fill_probability,tau,tick_size,contract,vol_state_label,range_state_label,trend_state_label,mkt_open,high,low,close,filled,execution_price,benchmark_price,improvement,better_than_market,improvement_ticks
2020-01-02 02:30:00,8795.0,3,buy,1,1,2,8795.0,8794.5,2,0.734,5,0.25,NQH20,low,low,flat,8795.0,8795.0,8793.75,8794.75,1,8794.5,8795.0,0.5,1,2.0
2020-01-02 02:35:00,8794.75,3,buy,1,1,2,8794.75,8794.25,2,0.734,5,0.25,NQH20,low,low,flat,8794.75,8796.0,8794.75,8795.5,0,8795.5,8794.75,-0.75,0,-3.0
2020-01-02 02:40:00,8795.5,3,buy,1,1,2,8795.5,8795.0,2,0.734,5,0.25,NQH20,low,low,flat,8795.5,8796.25,8794.0,8796.25,1,8795.0,8795.5,0.5,1,2.0
2020-01-02 02:45:00,8796.25,3,buy,1,1,2,8796.25,8795.75,2,0.734,5,0.25,NQH20,low,low,flat,8796.25,8800.0,8796.25,8798.25,0,8798.25,8796.25,-2.0,0,-8.0
2020-01-02 02:50:00,8798.25,3,buy,1,1,2,8797.75,8797.25,2,0.734,5,0.25,NQH20,low,low,flat,8797.75,8798.0,8796.25,8796.75,1,8797.25,8797.75,0.5,1,2.0
2020-01-02 02:55:00,8796.75,3,buy,1,1,2,8796.75,8796.25,2,0.734,5,0.25,NQH20,low,low,flat,8796.75,8797.25,8795.0,8795.5,1,8796.25,8796.75,0.5,1,2.0
2020-01-02 03:00:00,8795.5,3,buy,1,1,2,8795.25,8794.75,2,0.734,5,0.25,NQH20,low,low,flat,8795.25,8797.75,8793.5,8797.0,1,8794.75,8795.25,0.5,1,2.0
2020-01-02 03:05:00,8797.0,3,buy,1,1,2,8797.25,8796.75,2,0.734,5,0.25,NQH20,low,low,flat,8797.25,8799.0,8795.25,8797.75,1,8796.75,8797.25,0.5,1,2.0
2020-01-02 03:10:00,8797.75,3,buy,1,1,2,8798.0,8797.5,2,0.734,5,0.25,NQH20,low,low,flat,8798.0,8802.75,8797.0,8800.5,1,8797.5,8798.0,0.5,1,2.0
2020-01-02 03:15:00,8800.5,3,buy,1,1,2,8800.5,8800.0,2,0.734,5,0.25,NQH20,low,low,flat,8800.5,8801.5,8799.5,8801.25,1,8800.0,8800.5,0.5,1,2.0
