ticks_away,num_signals,fill_rate,avg_improvement,median_improvement
2,2452,0.8389070146818923,-0.0020391517128874386,0.5
3,1274,0.804552590266876,-0.040031397174254316,0.75
4,903,0.7630121816168328,-0.07419712070874862,1.0
5,794,0.739294710327456,0.030541561712846346,1.25
6,491,0.7617107942973523,-0.20723014256619143,1.5
7,2735,0.7553930530164534,-0.17312614259597806,1.75
8,1159,0.7592752372735116,-0.0181190681622088,2.0
9,1559,0.7389352148813342,0.16228351507376523,2.25
12,363,0.7107438016528925,-0.2665289256198347,3.0
13,853,0.7456037514654161,-0.33821805392731535,3.25
15,1016,0.7116141732283464,-0.6444389763779528,3.75
16,205,0.7463414634146341,-2.080487804878049,4.0
17,2693,0.7259561826958782,-0.4337170441886372,4.25
18,229,0.7510917030567685,0.37336244541484714,4.5
19,1863,0.7396672034353193,0.28878153515834676,4.75
22,272,0.7977941176470589,0.7803308823529411,5.5
